Product,Target,Sold,Avg Price,Achievement (%),Value,Month,Governorate
RECEPTAL,10000.0,3199.0,398.0,31.99,1273202.0,June,Menofia
RECEPTAL50,670.0,664.0,1701.0,99.1,1129464.0,June,Menofia
BYKAHEBAR,1800.0,471.0,1941.0,26.17,914211.0,June,Menofia
INVEMOX,9500.0,30.0,369.0,0.32,11070.0,June,Menofia
RIKATRON,1700.0,22.0,272.0,1.29,5984.0,June,Menofia
GALAPAN,1800.0,52.0,851.0,2.89,44252.0,June,Menofia
INTERMICIN,4400.0,3454.0,346.0,78.5,1195084.0,June,Menofia
FLOXMARB,3200.0,901.0,482.0,28.16,434282.0,June,Menofia
EPIXIN 50ML,5000.0,1349.0,116.0,26.98,156484.0,June,Menofia
EPIXIN 100ML,2800.0,1766.0,197.0,63.07,347902.0,June,Menofia
Antox9,1400.0,0.0,0.0,0.0,0.0,June,Menofia
lytomix,5000.0,3361.0,28.0,67.22,94108.0,June,Menofia
superactivite1,3600.0,730.0,49.0,20.28,35770.0,June,Menofia
superactivite 5,600.0,120.0,212.0,20.0,25440.0,June,Menofia
EMAPROTAZOAL,,214.0,182.0,,38948.0,June,Menofia
MULTI,,7400.0,13.0,,96200.0,June,Menofia
MINERALO,,900.0,13.0,,11700.0,June,Menofia
EPICOCARB,16500.0,834.0,35.0,5.05,29190.0,June,Menofia
MASTIKEL,11500.0,1110.0,81.0,9.65,89910.0,June,Menofia
IVERMEZOAL,1200.0,395.0,170.0,32.92,67150.0,June,Menofia
RECEPTAL,10000.0,3475.0,398.0,34.75,1383050.0,July,Menofia
RECEPTAL50,670.0,754.0,1701.0,112.54,1282554.0,July,Menofia
BYKAHEBAR,1800.0,537.0,1941.0,29.83,1042317.0,July,Menofia
INVEMOX,9500.0,30.0,351.0,0.32,10530.0,July,Menofia
RIKATRON,1700.0,22.0,276.0,1.29,6072.0,July,Menofia
GALAPAN,1800.0,52.0,850.0,2.89,44200.0,July,Menofia
INTERMICIN,4400.0,3669.0,346.0,83.39,1269474.0,July,Menofia
FLOXMARB,3200.0,1146.0,482.0,35.81,552372.0,July,Menofia
EPIXIN 50ML,5000.0,1521.0,116.0,30.42,176436.0,July,Menofia
EPIXIN 100ML,2800.0,2837.0,197.0,101.32,558889.0,July,Menofia
lytomix,5000.0,3561.0,28.0,71.22,99708.0,July,Menofia
superactivite1,3600.0,836.0,51.0,23.22,42636.0,July,Menofia
superactivite 5,600.0,125.0,209.0,20.83,26125.0,July,Menofia
EMAPROTAZOAL,,217.0,173.0,,37541.0,July,Menofia
MULTI,,7400.0,14.0,,103600.0,July,Menofia
MINERALO,,900.0,15.0,,13500.0,July,Menofia
EPICOCARB,16000.0,860.0,35.0,5.38,30100.0,July,Menofia
MASTIKEL,12500.0,1190.0,81.0,9.52,96390.0,July,Menofia
IVERMEZOAL,1200.0,568.0,171.0,47.33,97128.0,July,Menofia
PHOXNAN,,51.0,,,0.0,July,Menofia
RECEPTAL,10000.0,3488.0,402.0,34.88,1402176.0,August,Menofia
RECEPTAL50,670.0,773.0,1741.0,115.37,1345793.0,August,Menofia
BYKAHEBAR,1800.0,578.0,1954.0,32.11,1129412.0,August,Menofia
INVEMOX,9500.0,30.0,351.0,0.32,10530.0,August,Menofia
RIKATRON,1700.0,22.0,276.0,1.29,6072.0,August,Menofia
GALAPAN,1800.0,52.0,850.0,2.89,44200.0,August,Menofia
INTERMICIN,4400.0,3641.0,353.0,82.75,1285273.0,August,Menofia
FLOXMARB,3200.0,1655.0,483.0,51.72,799365.0,August,Menofia
EPIXIN 50ML,5000.0,1894.0,116.0,37.88,219704.0,August,Menofia
EPIXIN 100ML,2800.0,2837.0,195.0,101.32,553215.0,August,Menofia
lytomix,5000.0,3565.0,26.0,71.3,92690.0,August,Menofia
superactivite1,3600.0,836.0,51.0,23.22,42636.0,August,Menofia
superactivite 5,,125.0,217.0,,27125.0,August,Menofia
EMAPROTAZOAL,,217.0,181.0,,39277.0,August,Menofia
MULTI,,7400.0,15.0,,111000.0,August,Menofia
MINERALO,,900.0,15.0,,13500.0,August,Menofia
EPICOCARB,6666.0,930.0,36.0,13.95,33480.0,August,Menofia
MASTIKEL,5000.0,1190.0,80.0,23.8,95200.0,August,Menofia
IVERMEZOAL,1200.0,581.0,172.0,48.42,99932.0,August,Menofia
RECEPTAL 10ML,60000.0,4348.0,415.0,7.25,1804420.0,September,Menofia
RECEPTAL 50ML,4000.0,1074.0,1832.0,26.85,1967568.0,September,Menofia
Bykahebar,11000.0,899.0,1974.0,8.17,1774626.0,September,Menofia
Invemox,9500.0,30.0,369.0,0.32,11070.0,September,Menofia
Rikatron,1700.0,22.0,272.0,1.29,5984.0,September,Menofia
Galapan,1800.0,152.0,1146.0,8.44,174192.0,September,Menofia
Floxamarb,3200.0,2725.0,484.0,85.16,1318900.0,September,Menofia
Epicocarb,6666.0,986.0,34.0,14.79,33524.0,September,Menofia
Lytomix,5000.0,3965.0,27.0,79.3,107055.0,September,Menofia
Interamicin,4400.0,3641.0,353.0,82.75,1285273.0,September,Menofia
Superactivate 100ml,3600.0,855.0,51.0,23.75,43605.0,September,Menofia
Superactivate 500ml,,171.0,226.0,,38646.0,September,Menofia
Epixin 50ml,5000.0,2201.0,116.0,44.02,255316.0,September,Menofia
Epixin 100ml,2800.0,2838.0,196.0,101.36,556248.0,September,Menofia
mastikel,5000.0,1190.0,80.0,23.8,95200.0,September,Menofia
Emaprotazoal,,218.0,181.0,,39458.0,September,Menofia
MINERALO,,900.0,13.0,,11700.0,September,Menofia
MULTIADEKA,,7075.0,13.0,,91975.0,September,Menofia
cefa safe,,120.0,150.0,,18000.0,September,Menofia
Ivermezol 500ml,1200.0,585.0,172.0,48.75,100620.0,September,Menofia
RECEPTAL 10ML,60000.0,4683.0,415.0,7.8,1943445.0,October,Menofia
RECEPTAL 50ML,4000.0,1396.0,1832.0,34.9,2557472.0,October,Menofia
Bykahebar,11000.0,956.0,1974.0,8.69,1887144.0,October,Menofia
Invemox,9500.0,30.0,369.0,0.32,11070.0,October,Menofia
Rikatron,1700.0,22.0,272.0,1.29,5984.0,October,Menofia
Galapan,1800.0,259.0,1146.0,14.39,296814.0,October,Menofia
fascimentic,,18.0,,,0.0,October,Menofia
Floxamarb,3200.0,3164.0,488.0,98.88,1544032.0,October,Menofia
Epicocarb,6666.0,1197.0,39.0,17.96,46683.0,October,Menofia
Lytomix,5000.0,4290.0,26.0,85.8,111540.0,October,Menofia
Interamicin,4400.0,3597.0,353.0,81.75,1269741.0,October,Menofia
Superactivate 100ml,3600.0,912.0,51.0,25.33,46512.0,October,Menofia
Superactivate 500ml,,231.0,226.0,,52206.0,October,Menofia
Epixin 50ml,5000.0,2256.0,116.0,45.12,261696.0,October,Menofia
Epixin 100ml,2800.0,2047.0,195.0,73.11,399165.0,October,Menofia
mastikel,5000.0,2250.0,80.0,45.0,180000.0,October,Menofia
Emaprotazoal,,218.0,181.0,,39458.0,October,Menofia
MINERALO,,900.0,13.0,,11700.0,October,Menofia
MULTIADEKA,,7140.0,15.0,,107100.0,October,Menofia
cefa safe,,800.0,150.0,,120000.0,October,Menofia
Ivermezol 500ml,1200.0,701.0,172.0,58.42,120572.0,October,Menofia
RECEPTAL 10ML,60000.0,6140.0,420.0,10.233333333333333,2578800.0,november,Menofia
RECEPTAL 50ML,4000.0,1697.0,1852.0,42.425000000000004,3142844.0,november,Menofia
Bykahebar,11000.0,1072.0,1977.0,9.745454545454546,2119344.0,november,Menofia
Invemox,9500.0,30.0,369.0,0.3157894736842105,11070.0,november,Menofia
Rikatron,1700.0,34.0,272.0,2.0,9248.0,november,Menofia
Galapan,1800.0,395.0,1146.0,21.944444444444443,452670.0,november,Menofia
fascimentic,,23.0,450.0,,10350.0,november,Menofia
Floxamarb,3200.0,3537.0,490.0,110.53124999999999,1733130.0,november,Menofia
Epicocarb,6666.0,1183.0,28.0,17.746774677467748,33124.0,november,Menofia
Lytomix,5000.0,4560.0,27.0,91.2,123120.0,november,Menofia
Interamicin,4400.0,4053.0,343.0,92.11363636363636,1390179.0,november,Menofia
Superactivate 100ml,3600.0,934.0,52.0,25.944444444444443,48568.0,november,Menofia
Superactivate 500ml,,212.0,231.0,,48972.0,november,Menofia
Epixin 50ml,5000.0,2391.0,116.0,47.82,277356.0,november,Menofia
Epixin 100ml,2800.0,2358.0,199.0,84.21428571428572,469242.0,november,Menofia
mastikel,5000.0,2310.0,73.0,46.2,168630.0,november,Menofia
Emaprotazoal,,583.0,175.0,,102025.0,november,Menofia
MINERALO,,900.0,13.0,,11700.0,november,Menofia
MULTIADEKA,,7100.0,15.0,,106500.0,november,Menofia
cefa safe,,1040.0,150.0,,156000.0,november,Menofia
Ivermezol 500ml,1200.0,738.0,171.0,61.5,126198.0,november,Menofia
Albendeceutica,,1562.0,228.0,,356136.0,november,Menofia
